temp_dia_1,temp_dia_2,temp_dia_3,ropa,fecha
16,29,38,verano,2019-01-01
24,20,17,verano,2019-01-02
38,30,16,normal,2019-01-03
35,28,32,abrigada,2019-01-04
20,20,33,abrigada,2019-01-05
30,13,17,verano,2019-01-06
33,12,31,verano,2019-01-07
30,11,33,normal,2019-01-08
21,39,15,verano,2019-01-09
11,37,30,normal,2019-01-10
10,21,35,verano,2019-01-11
31,38,21,verano,2019-01-12
34,26,36,verano,2019-01-13
36,19,37,abrigada,2019-01-14
37,25,24,abrigada,2019-01-15
39,39,24,abrigada,2019-01-16
39,28,21,verano,2019-01-17
32,29,34,normal,2019-01-18
12,14,28,normal,2019-01-19
16,30,18,normal,2019-01-20
16,27,13,normal,2019-01-21
34,37,23,abrigada,2019-01-22
27,35,18,abrigada,2019-01-23
35,30,11,verano,2019-01-24
29,37,24,verano,2019-01-25
37,16,21,normal,2019-01-26
38,17,24,abrigada,2019-01-27
12,23,26,normal,2019-01-28
13,27,17,verano,2019-01-29
13,11,39,verano,2019-01-30
15,31,19,normal,2019-01-31
13,31,38,verano,2019-02-01
27,35,21,normal,2019-02-02
11,19,39,abrigada,2019-02-03
13,23,25,normal,2019-02-04
24,17,23,abrigada,2019-02-05
32,37,34,abrigada,2019-02-06
39,17,30,verano,2019-02-07
25,22,27,verano,2019-02-08
24,30,33,verano,2019-02-09
35,34,37,normal,2019-02-10
37,37,22,normal,2019-02-11
18,38,24,verano,2019-02-12
22,10,34,normal,2019-02-13
16,18,33,verano,2019-02-14
10,21,17,normal,2019-02-15
33,20,28,abrigada,2019-02-16
26,17,12,abrigada,2019-02-17
12,10,36,verano,2019-02-18
14,19,16,normal,2019-02-19
35,18,37,normal,2019-02-20
16,18,17,abrigada,2019-02-21
21,11,10,abrigada,2019-02-22
25,32,32,verano,2019-02-23
39,33,14,abrigada,2019-02-24
12,21,17,verano,2019-02-25
31,36,12,abrigada,2019-02-26
10,12,14,abrigada,2019-02-27
24,23,12,normal,2019-02-28
10,14,35,abrigada,2019-03-01
32,23,16,abrigada,2019-03-02
36,18,24,verano,2019-03-03
24,35,19,abrigada,2019-03-04
37,22,28,verano,2019-03-05
16,26,29,abrigada,2019-03-06
38,13,39,abrigada,2019-03-07
14,32,16,verano,2019-03-08
22,24,20,normal,2019-03-09
38,13,22,verano,2019-03-10
16,36,28,verano,2019-03-11
31,37,11,verano,2019-03-12
19,22,39,normal,2019-03-13
34,30,15,abrigada,2019-03-14
37,37,21,verano,2019-03-15
21,29,39,verano,2019-03-16
39,20,35,normal,2019-03-17
32,37,34,verano,2019-03-18
16,39,10,abrigada,2019-03-19
10,34,36,normal,2019-03-20
39,34,29,abrigada,2019-03-21
22,18,12,abrigada,2019-03-22
16,15,17,normal,2019-03-23
36,18,39,verano,2019-03-24
14,10,28,abrigada,2019-03-25
19,21,33,abrigada,2019-03-26
24,36,31,abrigada,2019-03-27
33,18,29,abrigada,2019-03-28
26,39,26,normal,2019-03-29
35,29,21,normal,2019-03-30
39,16,11,abrigada,2019-03-31
12,26,14,verano,2019-04-01
26,33,26,abrigada,2019-04-02
36,26,11,verano,2019-04-03
11,37,31,abrigada,2019-04-04
32,14,10,verano,2019-04-05
10,28,39,abrigada,2019-04-06
11,30,21,verano,2019-04-07
35,15,32,abrigada,2019-04-08
13,32,20,abrigada,2019-04-09
33,36,26,verano,2019-04-10
15,33,14,normal,2019-04-11
29,11,15,verano,2019-04-12
31,20,25,normal,2019-04-13
25,10,18,abrigada,2019-04-14
37,36,15,verano,2019-04-15
25,38,12,verano,2019-04-16
29,37,36,verano,2019-04-17
13,28,35,normal,2019-04-18
12,28,29,normal,2019-04-19
16,29,18,abrigada,2019-04-20
10,17,16,normal,2019-04-21
27,17,10,normal,2019-04-22
20,37,34,abrigada,2019-04-23
34,27,32,verano,2019-04-24
39,19,12,verano,2019-04-25
16,37,25,abrigada,2019-04-26
35,25,34,verano,2019-04-27
29,37,26,normal,2019-04-28
11,10,25,abrigada,2019-04-29
39,21,14,abrigada,2019-04-30
14,36,32,abrigada,2019-05-01
18,18,12,verano,2019-05-02
28,25,25,abrigada,2019-05-03
12,29,33,abrigada,2019-05-04
31,33,10,abrigada,2019-05-05
33,29,20,verano,2019-05-06
26,17,13,normal,2019-05-07
15,17,29,abrigada,2019-05-08
39,12,25,normal,2019-05-09
39,34,12,verano,2019-05-10
34,38,27,verano,2019-05-11
23,27,11,verano,2019-05-12
31,12,25,verano,2019-05-13
38,18,13,normal,2019-05-14
10,13,10,abrigada,2019-05-15
23,30,25,verano,2019-05-16
29,33,17,verano,2019-05-17
16,12,26,normal,2019-05-18
10,25,21,normal,2019-05-19
36,28,31,verano,2019-05-20
32,31,23,abrigada,2019-05-21
39,15,15,abrigada,2019-05-22
22,28,31,verano,2019-05-23
17,36,36,normal,2019-05-24
11,30,39,verano,2019-05-25
10,37,24,verano,2019-05-26
10,14,37,normal,2019-05-27
38,25,28,verano,2019-05-28
13,12,26,verano,2019-05-29
26,21,37,verano,2019-05-30
39,38,23,normal,2019-05-31
30,15,12,abrigada,2019-06-01
37,18,14,abrigada,2019-06-02
33,38,26,normal,2019-06-03
23,30,12,abrigada,2019-06-04
37,10,29,verano,2019-06-05
38,30,32,abrigada,2019-06-06
10,12,27,verano,2019-06-07
34,19,31,abrigada,2019-06-08
35,12,17,normal,2019-06-09
23,33,27,abrigada,2019-06-10
24,31,32,abrigada,2019-06-11
11,36,19,abrigada,2019-06-12
11,35,26,normal,2019-06-13
17,10,18,abrigada,2019-06-14
20,31,25,normal,2019-06-15
16,38,19,verano,2019-06-16
32,35,12,abrigada,2019-06-17
27,34,33,normal,2019-06-18
22,37,35,normal,2019-06-19
16,34,13,abrigada,2019-06-20
22,29,10,verano,2019-06-21
17,23,25,normal,2019-06-22
23,21,28,abrigada,2019-06-23
32,24,37,verano,2019-06-24
11,11,32,normal,2019-06-25
31,28,34,normal,2019-06-26
35,39,38,verano,2019-06-27
31,35,35,verano,2019-06-28
31,26,29,abrigada,2019-06-29
19,15,24,abrigada,2019-06-30
31,20,37,normal,2019-07-01
14,10,17,verano,2019-07-02
30,37,21,verano,2019-07-03
21,14,16,verano,2019-07-04
13,15,22,normal,2019-07-05
29,39,24,verano,2019-07-06
12,32,17,verano,2019-07-07
29,25,22,normal,2019-07-08
27,37,19,abrigada,2019-07-09
39,28,26,abrigada,2019-07-10
33,28,37,normal,2019-07-11
35,32,35,verano,2019-07-12
14,35,30,normal,2019-07-13
39,32,18,abrigada,2019-07-14
21,30,10,abrigada,2019-07-15
