temp_dia_1,temp_dia_2,temp_dia_3,ropa,fecha
21,24,26,normal,2017-01-01
23,25,24,normal,2017-01-02
6,8,7,abrigada,2017-01-03
2,0,4,abrigada,2017-01-04
31,38,31,verano,2017-01-05
27,27,19,normal,2017-01-06
27,24,22,normal,2017-01-07
1,0,11,abrigada,2017-01-08
35,37,39,verano,2017-01-09
34,40,36,verano,2017-01-10
15,13,11,abrigada,2017-01-11
22,21,24,normal,2017-01-12
18,16,18,normal,2017-01-13
11,0,0,abrigada,2017-01-14
4,11,15,abrigada,2017-01-15
25,25,20,normal,2017-01-16
38,35,32,verano,2017-01-17
4,3,15,abrigada,2017-01-18
34,32,32,verano,2017-01-19
29,16,19,normal,2017-01-20
27,19,27,normal,2017-01-21
0,2,12,abrigada,2017-01-22
10,11,9,abrigada,2017-01-23
24,21,26,normal,2017-01-24
8,0,12,abrigada,2017-01-25
11,0,4,abrigada,2017-01-26
29,29,16,normal,2017-01-27
33,37,33,verano,2017-01-28
15,7,3,abrigada,2017-01-29
17,27,21,normal,2017-01-30
25,21,29,normal,2017-01-31
25,27,22,normal,2017-02-01
30,39,36,verano,2017-02-02
8,10,14,abrigada,2017-02-03
13,10,8,abrigada,2017-02-04
31,37,32,verano,2017-02-05
5,2,6,abrigada,2017-02-06
37,32,36,verano,2017-02-07
8,8,9,abrigada,2017-02-08
26,16,23,normal,2017-02-09
21,25,27,normal,2017-02-10
28,28,29,normal,2017-02-11
7,0,2,abrigada,2017-02-12
6,9,6,abrigada,2017-02-13
10,1,2,abrigada,2017-02-14
38,39,34,verano,2017-02-15
9,11,15,abrigada,2017-02-16
22,25,20,normal,2017-02-17
14,6,8,abrigada,2017-02-18
28,21,24,normal,2017-02-19
31,34,38,verano,2017-02-20
0,14,8,abrigada,2017-02-21
11,8,14,abrigada,2017-02-22
40,31,33,verano,2017-02-23
21,25,17,normal,2017-02-24
5,8,5,abrigada,2017-02-25
27,19,23,normal,2017-02-26
31,40,35,verano,2017-02-27
13,13,1,abrigada,2017-02-28
10,9,2,abrigada,2017-03-01
13,15,9,abrigada,2017-03-02
13,1,8,abrigada,2017-03-03
0,11,6,abrigada,2017-03-04
31,34,37,verano,2017-03-05
7,13,9,abrigada,2017-03-06
1,8,2,abrigada,2017-03-07
28,25,24,normal,2017-03-08
10,14,3,abrigada,2017-03-09
6,0,12,abrigada,2017-03-10
21,20,21,normal,2017-03-11
8,14,9,abrigada,2017-03-12
9,8,13,abrigada,2017-03-13
38,35,39,verano,2017-03-14
36,32,35,verano,2017-03-15
2,8,7,abrigada,2017-03-16
15,11,7,abrigada,2017-03-17
29,22,27,normal,2017-03-18
38,31,32,verano,2017-03-19
2,15,6,abrigada,2017-03-20
13,8,14,abrigada,2017-03-21
0,15,2,abrigada,2017-03-22
37,38,36,verano,2017-03-23
16,22,23,normal,2017-03-24
7,12,7,abrigada,2017-03-25
39,30,35,verano,2017-03-26
21,29,19,normal,2017-03-27
24,21,27,normal,2017-03-28
22,28,29,normal,2017-03-29
7,15,7,abrigada,2017-03-30
0,4,2,abrigada,2017-03-31
34,31,33,verano,2017-04-01
29,17,18,normal,2017-04-02
5,13,10,abrigada,2017-04-03
15,4,9,abrigada,2017-04-04
29,23,29,normal,2017-04-05
9,15,15,abrigada,2017-04-06
19,17,20,normal,2017-04-07
6,5,14,abrigada,2017-04-08
23,18,24,normal,2017-04-09
10,11,9,abrigada,2017-04-10
40,35,36,verano,2017-04-11
1,6,15,abrigada,2017-04-12
39,37,32,verano,2017-04-13
36,31,36,verano,2017-04-14
11,10,15,abrigada,2017-04-15
10,1,8,abrigada,2017-04-16
27,29,25,normal,2017-04-17
20,27,25,normal,2017-04-18
22,21,18,normal,2017-04-19
25,28,21,normal,2017-04-20
21,24,17,normal,2017-04-21
16,23,20,normal,2017-04-22
38,40,38,verano,2017-04-23
10,12,0,abrigada,2017-04-24
7,7,11,abrigada,2017-04-25
24,26,22,normal,2017-04-26
29,22,19,normal,2017-04-27
9,1,10,abrigada,2017-04-28
12,9,13,abrigada,2017-04-29
27,20,17,normal,2017-04-30
31,35,32,verano,2017-05-01
36,36,34,verano,2017-05-02
26,17,27,normal,2017-05-03
2,4,12,abrigada,2017-05-04
21,28,21,normal,2017-05-05
15,11,1,abrigada,2017-05-06
6,2,0,abrigada,2017-05-07
4,8,0,abrigada,2017-05-08
2,13,12,abrigada,2017-05-09
30,33,38,verano,2017-05-10
18,24,21,normal,2017-05-11
22,25,28,normal,2017-05-12
19,18,18,normal,2017-05-13
15,8,8,abrigada,2017-05-14
9,9,12,abrigada,2017-05-15
23,28,24,normal,2017-05-16
10,12,7,abrigada,2017-05-17
13,9,12,abrigada,2017-05-18
10,12,10,abrigada,2017-05-19
17,18,22,normal,2017-05-20
19,23,21,normal,2017-05-21
17,28,19,normal,2017-05-22
37,35,40,verano,2017-05-23
8,12,5,abrigada,2017-05-24
11,15,9,abrigada,2017-05-25
6,13,2,abrigada,2017-05-26
11,10,4,abrigada,2017-05-27
28,19,28,normal,2017-05-28
1,5,4,abrigada,2017-05-29
17,25,19,normal,2017-05-30
6,2,9,abrigada,2017-05-31
21,20,21,normal,2017-06-01
3,6,8,abrigada,2017-06-02
26,25,18,normal,2017-06-03
12,2,9,abrigada,2017-06-04
14,0,2,abrigada,2017-06-05
0,3,11,abrigada,2017-06-06
26,22,24,normal,2017-06-07
20,23,24,normal,2017-06-08
17,29,21,normal,2017-06-09
1,12,14,abrigada,2017-06-10
19,28,28,normal,2017-06-11
36,38,31,verano,2017-06-12
11,12,10,abrigada,2017-06-13
10,14,15,abrigada,2017-06-14
1,7,10,abrigada,2017-06-15
31,35,31,verano,2017-06-16
19,18,22,normal,2017-06-17
0,6,3,abrigada,2017-06-18
27,25,29,normal,2017-06-19
